timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779043438630,30,POST Character,201,Created,Thread Group 1-949,text,true,,278,223,195,195,http://localhost:3001/character,30,0,0
1779043438630,31,POST Character,201,Created,Thread Group 1-937,text,true,,278,223,195,195,http://localhost:3001/character,31,0,0
1779043438630,31,POST Character,201,Created,Thread Group 1-945,text,true,,278,223,195,195,http://localhost:3001/character,31,0,0
1779043438630,31,POST Character,201,Created,Thread Group 1-952,text,true,,278,223,195,195,http://localhost:3001/character,31,0,0
1779043438630,31,POST Character,201,Created,Thread Group 1-947,text,true,,278,223,195,195,http://localhost:3001/character,31,0,0
1779043438630,31,POST Character,201,Created,Thread Group 1-955,text,true,,278,223,195,195,http://localhost:3001/character,31,0,0
1779043438630,31,POST Character,201,Created,Thread Group 1-944,text,true,,278,223,195,195,http://localhost:3001/character,31,0,0
1779043438630,32,POST Character,201,Created,Thread Group 1-957,text,true,,278,223,195,195,http://localhost:3001/character,32,0,0
1779043438630,32,POST Character,201,Created,Thread Group 1-951,text,true,,278,223,195,195,http://localhost:3001/character,32,0,0
1779043438630,32,POST Character,201,Created,Thread Group 1-946,text,true,,278,223,195,195,http://localhost:3001/character,32,0,0
1779043438630,32,POST Character,201,Created,Thread Group 1-950,text,true,,278,223,195,195,http://localhost:3001/character,32,0,0
1779043438630,32,POST Character,201,Created,Thread Group 1-942,text,true,,278,223,195,195,http://localhost:3001/character,32,0,0
1779043438630,32,POST Character,201,Created,Thread Group 1-943,text,true,,278,223,195,195,http://localhost:3001/character,32,0,0
